 	 	а	б	в	г	д	е	ё	ж	з	и	й	к	л	м	н	о	п	р	с	т	у	ф	х	ц	ч	ш	щ	ъ	ы	ь	э	ю	я
ф	77,51	50,58	0,00	0,00	0,00	1,25	1,40	0,00	0,00	0,00	1,71	0,00	0,00	0,78	0,16	0,93	46,54	0,16	2,18	1,71	1,40	0,62	0,47	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,62	0,00	0,00	0,16	
х	112,22	96,65	4,67	3,89	0,00	5,14	102,88	0,00	0,00	0,00	166,69	0,00	0,31	0,00	0,16	0,00	53,85	0,00	13,07	18,21	2,18	35,64	0,00	0,00	0,00	0,00	0,00	0,00	0,00	85,45	0,00	0,47	0,62	13,85	
ц	29,57	8,72	0,62	1,40	0,00	16,19	26,93	0,00	0,00	0,31	141,32	3,58	1,09	0,00	3,42	56,50	9,18	0,16	9,49	2,02	11,83	0,16	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,16	8,56	0,16	4,51	3,27	
ч	509,42	72,84	2,49	2,96	2,18	2,18	89,34	0,00	4,67	1,25	116,42	5,60	0,31	21,01	2,65	18,83	131,52	0,78	7,94	31,75	16,03	68,79	0,00	0,00	0,00	0,00	0,00	0,00	0,00	12,92	4,36	0,00	5,76	11,83	
ш	98,06	96,97	0,47	123,74	0,93	10,27	71,60	0,00	0,00	1,25	35,33	8,09	0,62	0,16	0,62	3,58	128,56	1,40	23,19	5,14	0,16	75,18	0,00	0,00	0,00	7,00	0,47	0,00	0,00	51,52	40,31	0,16	7,16	0,31	
щ	7,32	23,50	16,34	0,62	0,00	0,00	64,28	0,00	0,00	0,00	10,43	0,16	0,00	0,16	0,16	14,32	12,45	0,00	6,38	0,00	1,87	19,30	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,16	0,78	0,00	42,96	14,47	
ъ	0,16	0,00	7,00	1,56	0,00	28,33	0,00	0,00	0,00	1,56	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	1,25	3,89	0,00	0,00	0,31	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	
ы	0,16	0,00	354,40	264,91	0,31	65,37	0,00	0,00	0,00	52,92	0,00	0,00	0,00	121,09	61,95	303,19	0,00	19,46	142,26	39,53	153,62	0,00	1,87	0,00	11,67	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	
ь	0,16	0,00	4,67	16,19	0,00	48,25	0,00	0,00	3,42	108,33	0,16	0,00	0,00	343,51	2,49	99,30	0,00	58,37	79,69	328,25	487,79	0,00	0,16	0,00	0,00	19,30	32,06	1,87	0,00	0,00	0,00	0,00	0,00	0,00	
э	245,45	0,16	0,16	0,16	0,00	0,16	0,00	0,00	0,16	0,00	0,16	0,00	0,00	0,16	0,16	0,31	2,18	0,31	0,31	0,16	0,93	2,18	0,16	0,00	0,00	0,16	0,00	0,16	0,00	0,00	0,00	0,00	0,00	0,00	
ю	6,38	77,36	0,62	0,00	0,93	1,40	34,24	0,00	2,02	11,21	28,79	0,16	1,56	82,02	6,07	14,94	73,15	0,00	20,70	12,76	5,91	99,30	0,00	0,00	0,00	0,00	0,00	0,00	16,97	0,00	35,33	0,00	3,58	8,56	
я	156,42	277,05	46,38	12,45	0,00	35,95	36,73	0,00	0,00	50,74	156,89	0,00	0,00	171,05	42,96	332,61	61,48	35,33	105,37	302,26	48,72	6,69	0,00	0,00	0,00	0,00	0,00	0,00	4,82	0,00	38,13	0,00	0,00	19,92	
