о	0.1136773841698615
а	0.08386215954008232
е	0.07967174129590443
и	0.0664790655311443
н	0.06514532904705227
т	0.05679788234550269
с	0.052177106849156024
л	0.050598511928485204
в	0.046048225982062735
р	0.04557705899046416
к	0.03585321107723685
д	0.03039769091073523
м	0.02956851120504797
у	0.028666986961280616
п	0.025686020994749467
я	0.023144687221166596
г	0.02073320261849672
ь	0.019473665660640682
ы	0.018982093799327207
з	0.017811596272954366
б	0.017269939731431594
ч	0.013632307957711878
й	0.011519476448141885
ж	0.010128235331216956
ш	0.00944188971353399
х	0.008532945517143037
ю	0.00648318360487302
ц	0.004042019191707602
э	0.003021775705962177
щ	0.0028084520680335882
ф	0.0022426806804838524
ъ	5.249616481198766E-4
