 	 	а	б	в	г	д	е	ж	з	и	й	к	л	м	н	о	п	р	с	т	у	ф	х	ц	ч	ш	щ	ъ	ы	ь	э	ю	я
х	110,82	97,43	4,98	3,74	0,00	4,98	101,48	0,00	0,00	163,74	0,00	0,31	0,00	0,00	0,00	49,81	0,00	13,70	15,88	1,87	34,86	0,00	0,00	0,00	0,00	0,00	0,00	0,00	87,16	0,00	0,62	1,25	14,01	
ц	30,51	10,58	0,62	1,87	0,00	19,61	29,88	0,00	0,31	142,57	3,74	1,56	0,00	3,11	59,77	8,72	0,00	6,54	2,18	13,07	0,31	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,31	10,27	0,31	4,67	3,42	
ч	522,65	74,40	1,87	4,05	2,80	2,80	88,09	4,05	1,25	113,00	5,29	0,31	20,23	2,80	19,61	131,99	0,62	6,85	33,31	15,56	73,46	0,00	0,00	0,00	0,00	0,00	0,00	0,00	13,07	4,98	0,00	4,98	8,72	
ш	107,39	97,74	0,31	124,52	1,56	9,96	75,64	0,00	1,56	34,55	9,34	0,62	0,00	0,31	3,11	130,12	1,25	23,35	6,23	0,00	76,27	0,00	0,00	0,00	6,23	0,31	0,00	0,00	55,41	39,22	0,31	9,34	0,62	
щ	8,09	24,28	18,99	0,93	0,00	0,00	68,79	0,00	0,00	10,58	0,00	0,00	0,31	0,31	15,25	13,39	0,00	7,47	0,00	2,49	20,23	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,31	0,00	45,14	16,50	
ъ	0,31	0,00	6,54	2,18	0,00	28,02	0,00	0,00	2,18	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,93	3,42	0,00	0,00	0,31	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	
ы	0,00	0,00	375,41	265,22	0,62	64,75	0,00	0,00	53,85	0,00	0,00	0,00	113,31	61,01	308,80	0,00	18,99	136,66	37,98	157,51	0,00	1,56	0,00	10,58	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	
ь	0,00	0,00	4,67	15,56	0,00	42,96	0,00	2,80	111,44	0,31	0,00	0,00	338,06	2,49	109,26	0,00	58,21	79,07	332,77	496,82	0,00	0,00	0,00	0,00	19,92	29,26	1,87	0,00	0,00	0,00	0,00	0,00	0,00	
э	251,83	0,00	0,00	0,00	0,00	0,00	0,00	0,31	0,00	0,00	0,00	0,00	0,31	0,31	0,31	2,80	0,31	0,00	0,31	1,25	2,18	0,00	0,00	0,00	0,31	0,00	0,31	0,00	0,00	0,00	0,00	0,00	0,00	
ю	5,29	76,58	0,31	0,00	0,62	2,18	31,75	3,11	13,70	31,44	0,00	1,25	82,18	5,29	14,94	72,84	0,00	17,74	15,25	4,05	96,50	0,00	0,00	0,00	0,00	0,00	0,00	18,99	0,00	35,80	0,00	2,80	8,72	
я	150,04	288,88	47,00	14,94	0,00	38,60	36,42	0,00	48,25	167,16	0,00	0,00	176,50	46,38	332,77	68,17	32,37	109,57	318,45	49,81	7,78	0,00	0,00	0,00	0,00	0,00	0,00	4,98	0,00	42,02	0,00	0,00	20,86	
