3грамма	частота
 и 	0.007659251257993873
 по	0.007133173849905751
 не	0.006104365664265962
то 	0.005382176559671617
 на	0.0051642746746647025
на 	0.005045985079946663
го 	0.004856099151583495
 пр	0.004645979476755399
 он	0.004060757271308257
ть 	0.003986048053591601
не 	0.003912895277910708
ал 	0.0038039443354072225
но 	0.003757251074334299
 в 	0.0036576387840453963
что	0.0032047141516380407
он 	0.003168915984815466
 чт	0.003139343586135948
сь 	0.0030552957162046862
ост	0.002968134962201896
ли 	0.0029619091940588397
 бы	0.0029307803533435576
ой 	0.002868522671912993
 ко	0.0028576275776626445
 ка	0.00284828892544806
ла 	0.002834280947126183
его	0.0028296116210188905
ся 	0.0028156036426970135
 за	0.002607040409904623
ом 	0.0026039275258330948
 то	0.0025696858010462844
ак 	0.0025261054240448893
 го	0.00250742811961572
ого	0.0024887508151865507
аза	0.002364235452325422
 вс	0.0022552845098219344
каз	0.0021852446182125495
ска	0.0021727930819264367
ая 	0.002161897987676088
 с 	0.0021541157774972674
 эт	0.002133882031032334
 от	0.0021152047266031647
о в	0.0021089789584601082
при	0.00210586607438858
о н	0.0020809630018163543
как	0.002077850117744826
ста	0.0020529470451726003
про	0.0020529470451726003
 ст	0.002051390603136836
ово	0.002048277719065308
ото	0.0020296004146361387
ени	0.00201870532038579
тор	0.0020015844579923847
сто	0.0019829071535632154
был	0.0019829071535632154
 кн	0.001978237827455923
 вы	0.0019533347548836974
кня	0.0019393267765618221
и п	0.0019346574504545304
ми 	0.001911310819918072
 ра	0.0019097543778823082
 мо	0.001884851305310086
о п	0.0018770690951312665
о с	0.0018459402544159886
ать	0.0018381580442371692
и в	0.0018210371818437663
 ск	0.0017914647831642524
о о	0.001782126130949669
 во	0.0017774568048423774
ей 	0.0017759003628066135
оро	0.001768118152627794
пер	0.0017650052685562662
ло 	0.0017416586380198079
и с	0.0017136426813760578
му 	0.0017136426813760578
ере	0.0016996347030541828
 до	0.0016794009565892522
е п	0.0016560543260527938
ем 	0.0016373770216236271
это	0.0016280383694090438
и н	0.001609361064979877
е с	0.0016000224127652937
 со	0.0015984659707295298
а с	0.0015906837605507104
ие 	0.001581345108336127
зал	0.0015782322242645992
енн	0.0015720064561215437
оло	0.0015704500140857798
ет 	0.0015688935720500159
а п	0.0015502162676208492
лов	0.0015502162676208492
 св	0.0015455469415135575
вор	0.0015455469415135575
оль	0.0015439904994777936
под	0.0015408776154062658
а н	0.0015206438689413352
ов 	0.0015190874269055714
е в	0.0015144181007982797
ств	0.001494184354333349
ест	0.0014910714702618213
ил 	0.0014864021441545296
да 	0.0014755070499041824
а в	0.0014739506078684185
и о	0.0014692812817611268
ый 	0.0014630555136180712
 бо	0.0014334831149385573
 та	0.0014288137888312656
ова	0.00142258802068821
 де	0.0014148058105093906
 об	0.0014023542742232795
гов	0.0013992413901517517
ала	0.0013976849481159878
 но	0.0013867898538656406
няз	0.001364999665364946
 к 	0.0013556610131503627
пол	0.001350991687043071
 ни	0.0013432094768642516
нно	0.001336983708721196
 я 	0.001336983708721196
 ег	0.0013338708246496682
вал	0.0013245321724350849
ори	0.001321419288363557
 пе	0.0013136370781847376
те 	0.0013058548680059182
али	0.001294959773755571
я н	0.0012918468896840432
тел	0.0012887340056125154
лся	0.0012887340056125154
кот	0.0012778389113621681
дел	0.0012762824693264042
рос	0.0012731695852548765
ее 	0.001265387375076057
так	0.0012607180489687653
стр	0.0012576051648972375
или	0.001249822954718418
жен	0.0012482665126826542
от 	0.0012404843025038347
 ве	0.001235814976396543
а о	0.0012295892082534875
же 	0.0012295892082534875
е н	0.0012155812299316125
их 	0.0012031296936455013
ий 	0.0012015732516097374
а и	0.0012000168095739735
а к	0.0011969039255024458
о б	0.001192234599395154
 ан	0.001192234599395154
 сл	0.0011891217153236263
она	0.0011860088312520985
ое 	0.001179783063109043
ь в	0.001178226621073279
ел 	0.001164218642751404
 же	0.0011564364325725846
ко 	0.0011548799905368207
сво	0.001151767106465293
о и	0.0011486542223937651
я в	0.001136202686107654
 се	0.0011330898020361262
раз	0.0011284204759288345
ком	0.0011253075918573067
ись	0.0011237511498215428
 ва	0.001120638265750015
все	0.0011004045192850845
сти	0.0010988480772493206
им 	0.001092622309106265
ия 	0.0010910658670705011
зна	0.0010895094250347372
за 	0.0010848400989274456
е о	0.00107861433078439
ель	0.0010755014467128622
рас	0.0010739450046770983
вид	0.0010723885626413344
 те	0.0010708321206055705
 че	0.0010692756785698066
ред	0.0010692756785698066
ско	0.0010692756785698066
ка 	0.0010568241422836955
и и	0.0010521548161764038
лен	0.00105059837414064
ние	0.001049041932104876
тол	0.0010443726059975844
е и	0.0010428161639618205
 из	0.0010412597219260566
о к	0.0010397032798902927
и к	0.0010272517436041816
анд	0.0010179130913895982
вер	0.0010132437652823065
ела	0.0010132437652823065
ить	0.0010132437652823065
ти 	0.0010132437652823065
зь 	0.001007017997139251
 ви	0.001005461555103487
ело	0.0010039051130677232
льн	0.0010023486710319593
ым 	9.867842506743204E-4
язь	9.836713666027926E-4
пос	9.805584825312648E-4
ему	9.77445598459737E-4
ами	9.727762723524453E-4
ите	9.618811781020981E-4
я с	9.603247360663342E-4
ь с	9.572118519948064E-4
 кр	9.525425258875148E-4
я п	9.509860838517509E-4
руг	9.416474316371675E-4
л о	9.369781055298758E-4
 ли	9.35421663494112E-4
лос	9.276394533152925E-4
я к	9.260830112795286E-4
ыва	9.229701272080008E-4
ни 	9.214136851722369E-4
ки 	9.167443590649452E-4
ива	9.151879170291814E-4
пре	9.136314749934175E-4
дру	9.120750329576536E-4
о т	9.105185909218897E-4
ь н	9.074057068503619E-4
рил	9.074057068503619E-4
е м	9.05849264814598E-4
том	9.042928227788341E-4
 ро	9.027363807430702E-4
ва 	8.965106126000147E-4
 ми	8.902848444569591E-4
тре	8.887284024211952E-4
ове	8.887284024211952E-4
 хо	8.793897502066118E-4
бы 	8.793897502066118E-4
 да	8.77833308170848E-4
ь п	8.762768661350841E-4
анн	8.747204240993202E-4
во 	8.716075400277924E-4
гра	8.700510979920285E-4
ра 	8.700510979920285E-4
ты 	8.638253298489729E-4
оди	8.638253298489729E-4
о ч	8.638253298489729E-4
я и	8.62268887813209E-4
 ме	8.607124457774451E-4
 ру	8.498173515270979E-4
нны	8.498173515270979E-4
ые 	8.451480254198062E-4
 др	8.451480254198062E-4
ког	8.435915833840423E-4
ера	8.420351413482784E-4
одн	8.389222572767507E-4
о д	8.389222572767507E-4
 гр	8.373658152409868E-4
ила	8.311400470979312E-4
сил	8.311400470979312E-4
ски	8.311400470979312E-4
