2грамма	частота
то	0.014719578031221762
ст	0.013962054300503467
на	0.01240848158576335
но	0.011359924691502096
ен	0.011016128681043433
ко	0.01031220530274744
ов	0.01026362998336473
по	0.010106178948124222
не	0.009807189482268577
он	0.009765732959691954
ос	0.00971380761828285
ни	0.009209210550557286
ал	0.009200835495491302
ра	0.009141791357276111
го	0.00911582868657156
ро	0.008445405528539503
от	0.008394736445390297
во	0.008267435608387334
ка	0.008160653656296032
ли	0.008116265864446314
ло	0.00787045799825967
ес	0.007798432524692204
пр	0.007677831731742028
ан	0.007542155839673079
ет	0.007431186360048785
ер	0.007365023425027508
ре	0.007359579639234618
од	0.007284622896394057
ва	0.007201709851240811
ол	0.007143503218532219
ом	0.007055146387586083
ор	0.006906907912918158
та	0.006872988939900921
ел	0.006767044493316218
ве	0.0067574131799903354
ть	0.0065078365390239985
ас	0.006486061395852439
ла	0.006370904388695153
ри	0.00611881523120902
ат	0.00609201505499787
те	0.006056421070967436
ак	0.006033389669535979
ем	0.005882219925594959
ав	0.005878032398061967
ог	0.005858351018656904
ле	0.0057867442978427365
об	0.005706762521962585
ин	0.005673681054451946
ил	0.005663630988372765
де	0.005478961024167808
за	0.005397722990027758
ль	0.005270840905778094
ти	0.005155683898620807
ис	0.0050694208314411675
ит	0.004991114066574213
ой	0.004896475944328588
ар	0.004892288416795596
да	0.004878888328690021
мо	0.004788437733977389
ны	0.004736512392568285
до	0.00462596166569729
ив	0.004589111423406959
ся	0.0045267172631653745
ме	0.004436266668452742
ед	0.004392297629356324
ам	0.004365078700391874
ск	0.004350841106779701
бы	0.00431901589752896
се	0.004222284011516839
нн	0.004208465170657965
аз	0.0041607273567818535
че	0.004149839785196074
ег	0.00414104597737679
ев	0.004094145669007277
им	0.003977732403590093
тв	0.0038985881332165395
ми	0.00387681299004498
же	0.003799762483437923
оп	0.003745324625509024
ик	0.0037222932240775666
вс	0.0037201994603110705
ад	0.003642311448197415
ма	0.003640217684430919
ви	0.0035288294520533256
ок	0.0034986792538157815
эт	0.0034689478083315367
сл	0.003341646971328573
со	0.003339971960315376
еп	0.003330759399742793
ки	0.0033223843446768086
тр	0.003302702965271745
ие	0.0032583151734220275
сь	0.003223558694898192
ну	0.003208902348532719
из	0.0031343643584454575
чт	0.0030648514013977865
ди	0.003056057593578503
ое	0.003019207351288171
ап	0.0029371318116415235
оч	0.0029086566244171763
ру	0.002881856448206026
жа	0.00279894340305278
вы	0.0027964308865329845
бо	0.002771305721335031
оз	0.002746599308890377
ус	0.0027172866161594314
ьн	0.00266954880228332
бе	0.002639817356799075
ыл	0.002639398604045776
ая	0.0026297672907198938
ей	0.0025527167841128367
ек	0.0025393166960072616
сп	0.00250246645371693
ше	0.002500791442703733
дн	0.002496603915170741
ож	0.0024961851624174416
му	0.0024773412885189766
еб	0.0024513786178144248
ид	0.0024450973265149364
хо	0.002406572073211408
св	0.002369303078167777
ча	0.0023492029460094144
уд	0.0023362216106571384
кр	0.0022554023292703884
пе	0.0022516335544906954
ип	0.002224414625526246
лс	0.002200126965834891
ез	0.002193008169028804
ьс	0.002159089196011567
тс	0.0021356390418268106
мн	0.0021335452780603145
ту	0.0021293577505273223
ый	0.0021092576183689596
ят	0.002087901227950699
ля	0.002085388711430904
ут	0.00208203868940451
ае	0.002065288579272541
са	0.0020644510737659427
еч	0.00204435094160758
их	0.0020175507653964297
тн	0.002016294507136532
ее	0.0019945193639649725
ду	0.0019848880506390903
оо	0.001957669121674641
ои	0.0019484565611020555
зн	0.0019388252477761684
вн	0.0019375689895162701
ул	0.0019224938903974903
ян	0.0019191438683710948
лу	0.0018906686811467328
ши	0.001886062400860439
ео	0.0018848061426005407
ым	0.0018843873898472412
ще	0.0018709873017416592
ры	0.0018701497962350603
ии	0.001861355988415772
яв	0.0018596809774025743
па	0.0018563309553761788
чи	0.0018416746090106984
аб	0.0018387433397376023
ку	0.0018215744768523253
ты	0.0018152931855528337
гл	0.001777605437755884
ио	0.0017637865968970026
ия	0.001761274080377206
ьк	0.0017495490032848216
уж	0.0017294488711264485
ые	0.0017177237940340642
жи	0.0017068362224482788
ич	0.0016787797879772163
аж	0.0016611921723386398
ыв	0.0016503046007528544
яс	0.0016402545346736678
йс	0.0016302044685944813
уп	0.0016142918639691025
бр	0.0015740915996523563
ум	0.0015498039399609888
ий	0.0015401726266351017
ач	0.001506253653617847
ао	0.0014865722742127734
сн	0.0014828034994330784
уг	0.0014815472411731801
ув	0.001478615971900084
ых	0.0014656346365478014
си	0.0014635408727813042
иц	0.0014635408727813042
ня	0.0014359031910635412
иб	0.001433809427297044
др	0.0014183155754249647
ир	0.0014057529928259815
су	0.0014036592290594843
аг	0.0013856528606676084
га	0.0013802090748747157
дв	0.0013584339317031448
вр	0.001336658788531574
гд	0.0013324712609985795
аи	0.0013232587004259918
еж	0.001314883645360003
ьв	0.0013144648926067036
ук	0.0013136273871001047
лю	0.0013098586123204098
ыс	0.001304414826527517
вш	0.0013035773210209182
ую	0.0012918522439285339
мы	0.0012859897053823417
ош	0.0012809646723427484
ье	0.0012771958975630535
гр	0.0012746833810432568
еи	0.0012524894851183865
ша	0.0012344831167265106
ба	0.0012340643639732112
бу	0.0012323893529600134
вл	0.0012290393309336179
це	0.0012156392428280358
ря	0.001213964231814838
пи	0.0012118704680483408
яп	0.0011880015611102728
ял	0.0011854890445904761
ун	0.0011846515390838773
мс	0.0011725077092381935
нс	0.001169157687211798
уч	0.001161620137652408
йн	0.0011565951046128148
ах	0.0011540825880930181
иу	0.0011461262857803288
жн	0.0011398449944808372
нь	0.0011285386701417523
бл	0.0011256074008686562
зв	0.001124351142608758
тк	0.001123513637102159
зд	0.0011184886040625658
