1грамма	частота
 	0.1575594407289387
о	0.08880473312059979
е	0.06950117572091292
а	0.06750069517363584
и	0.0586497161260678
н	0.054573838249884835
т	0.050609998083164756
с	0.04468414814892292
л	0.040450337597954925
р	0.038635461689848286
в	0.03587029002918897
к	0.03177753900399051
м	0.02836173871727886
д	0.026799285118435993
у	0.025523000126897392
п	0.0234550269835477
я	0.017374619004292675
ы	0.016404075472916415
г	0.015784493441064255
б	0.015365364419517871
з	0.013774563930332917
ь	0.013372308057802483
ч	0.011669469859154354
й	0.011251690689529624
ж	0.008955592571495167
х	0.008466946176005177
ш	0.006996282507809806
ю	0.005581637694345254
ц	0.003437397917448187
э	0.003390828026165271
щ	0.0030783373063973003
ф	0.0021334409615265462
ъ	2.0652734395036976E-4
