1грамма	частота
 	0.1609449441472514
о	0.09538158392387154
а	0.07036496895686023
е	0.06617815291372825
и	0.05577959604229151
н	0.05466051770213839
т	0.047656550343739154
с	0.04377946530156749
л	0.042454937252234655
в	0.038636996823311696
р	0.03824166177685982
к	0.030082818022920094
д	0.025505336244908503
м	0.024809608820640847
у	0.02405318034593373
п	0.021551985780389825
я	0.01941966682905495
г	0.017396298481072946
ь	0.01633947762855004
ы	0.01592702177299986
з	0.014944909905633214
б	0.014490430245932641
ч	0.01143825691486133
й	0.009665474954590945
ж	0.008498147061524406
ш	0.007922265300944913
х	0.007159611077474774
ю	0.005439747981690073
ц	0.0033914766386559853
э	0.002535436183740523
щ	0.002356445906803654
ф	0.0018817325636232612
ё	6.708244292155713E-4
ъ	4.4047172498377414E-4
