1грамма	частота
 	0.15515970824435013
о	0.09363470119646956
е	0.0721259962860461
а	0.06863525839846697
н	0.05556736784496562
и	0.05495426875109974
т	0.05136624162473635
с	0.04497911465378737
л	0.040916316042156814
в	0.039057560912802325
р	0.03812040020902234
к	0.027983922864853173
м	0.026704304040552605
д	0.026313378190164955
у	0.024280563768149178
п	0.022464969682909886
ы	0.016923374641758627
я	0.016512283385513877
ь	0.01641110257717825
г	0.01531084973129084
б	0.015143158461531794
з	0.01409774136841369
ч	0.011975067067666273
й	0.010031051187231762
ж	0.009835411372512875
ш	0.007271928375310244
х	0.00686437490956674
ю	0.005378502899043547
ц	0.003603239625518457
э	0.0033619623133335007
щ	0.0032880224918574656
ф	0.0015739629940039255
ъ	1.4964853820265413E-4
ё	4.2453486014937264E-6
